idScenarios,idTechnologies,idzones,year,hour,supply,quantum,Col
1,91,0,2022,4416,1,5085.71,4
1,91,0,2022,4417,1,5338.33,4
1,91,0,2022,4418,1,5459.73,4
1,91,0,2022,4419,1,5587.59,4
1,91,0,2022,4420,1,5743.5,4
1,91,0,2022,4421,1,5838.53,4
1,91,0,2022,4422,1,5974.05,4
1,91,0,2022,4423,1,5985.25,4
1,91,0,2022,4424,1,5966.41,4
1,91,0,2022,4425,1,5868.22,4
1,91,0,2022,4426,1,5411.35,4
1,91,0,2022,4427,1,5468.55,4
1,91,0,2022,4428,1,5451.05,4
1,91,0,2022,4429,1,5349.06,4
1,91,0,2022,4430,1,4989.16,4
1,91,0,2022,4431,1,4598.4,4
1,91,0,2022,4432,1,3932,4
1,91,0,2022,4433,1,3688.99,4
1,91,0,2022,4434,1,3876.1,4
1,91,0,2022,4435,1,4135.03,4
1,91,0,2022,4436,1,4554.57,4
1,91,0,2022,4437,1,4843.58,4
1,91,0,2022,4438,1,5023.59,4
1,91,0,2022,4439,1,5141.97,4
1,91,0,2022,4440,1,5185.5,4
1,91,0,2022,4441,1,5183.26,4
1,91,0,2022,4442,1,5145.8,4
1,91,0,2022,4443,1,5100.94,4
1,91,0,2022,4444,1,5067.37,4
1,91,0,2022,4445,1,5068.25,4
1,91,0,2022,4446,1,5253.9,4
1,91,0,2022,4447,1,4904.12,4
1,91,0,2022,4448,1,4508.24,4
1,91,0,2022,4449,1,3791.96,4
1,91,0,2022,4450,1,2600.58,4
1,91,0,2022,4451,1,1580.8,4
1,91,0,2022,4452,1,1177.26,4
1,91,0,2022,4453,1,934.97,4
1,91,0,2022,4454,1,652.48,4
1,91,0,2022,4455,1,571.55,4
1,91,0,2022,4456,1,513.98,4
1,91,0,2022,4457,1,536.79,4
1,91,0,2022,4458,1,409.51,4
1,91,0,2022,4459,1,442.94,4
1,91,0,2022,4460,1,387.69,4
1,91,0,2022,4461,1,376.21,4
1,91,0,2022,4462,1,356.41,4
1,91,0,2022,4463,1,345.33,4
1,91,0,2022,4464,1,366.44,4
1,91,0,2022,4465,1,421.45,4
1,91,0,2022,4466,1,499.45,4
1,91,0,2022,4467,1,549.97,4
1,91,0,2022,4468,1,557.17,4
1,91,0,2022,4469,1,550.75,4
1,91,0,2022,4470,1,555.65,4
1,91,0,2022,4471,1,633.91,4
1,91,0,2022,4472,1,674.17,4
1,91,0,2022,4473,1,462.94,4
1,91,0,2022,4474,1,264,4
1,91,0,2022,4475,1,270.88,4
1,91,0,2022,4476,1,265.79,4
1,91,0,2022,4477,1,232.98,4
1,91,0,2022,4478,1,211.23,4
1,91,0,2022,4479,1,247.77,4
1,91,0,2022,4480,1,330.5,4
1,91,0,2022,4481,1,700.5,4
1,91,0,2022,4482,1,1046.22,4
1,91,0,2022,4483,1,1606.12,4
1,91,0,2022,4484,1,1956.42,4
1,91,0,2022,4485,1,2269.38,4
1,91,0,2022,4486,1,2349.42,4
1,91,0,2022,4487,1,2498.49,4
1,91,0,2022,4488,1,2385.39,4
1,91,0,2022,4489,1,2466.17,4
1,91,0,2022,4490,1,2508.21,4
1,91,0,2022,4491,1,2297.17,4
1,91,0,2022,4492,1,2256.84,4
1,91,0,2022,4493,1,2371.25,4
1,91,0,2022,4494,1,1925.01,4
1,91,0,2022,4495,1,1752.62,4
1,91,0,2022,4496,1,1552.65,4
1,91,0,2022,4497,1,1113.86,4
1,91,0,2022,4498,1,708.95,4
1,91,0,2022,4499,1,608.92,4
1,91,0,2022,4500,1,466.64,4
1,91,0,2022,4501,1,371.41,4
1,91,0,2022,4502,1,255.62,4
1,91,0,2022,4503,1,219.63,4
1,91,0,2022,4504,1,190.81,4
1,91,0,2022,4505,1,326.98,4
1,91,0,2022,4506,1,227.32,4
1,91,0,2022,4507,1,318.04,4
1,91,0,2022,4508,1,552.71,4
1,91,0,2022,4509,1,699.82,4
1,91,0,2022,4510,1,816.82,4
1,91,0,2022,4511,1,1003.82,4
1,91,0,2022,4512,1,1443.67,4
1,91,0,2022,4513,1,2154.83,4
1,91,0,2022,4514,1,2798.21,4
1,91,0,2022,4515,1,3138.43,4
1,91,0,2022,4516,1,3469.23,4
1,91,0,2022,4517,1,3808.9,4
1,91,0,2022,4518,1,4046.36,4
1,91,0,2022,4519,1,4377.36,4
1,91,0,2022,4520,1,4669.53,4
1,91,0,2022,4521,1,4553.77,4
1,91,0,2022,4522,1,3879.39,4
1,91,0,2022,4523,1,2816.5,4
1,91,0,2022,4524,1,2687.22,4
1,91,0,2022,4525,1,2835.27,4
1,91,0,2022,4526,1,2828.52,4
