length_m,objectid,class,name,revised,ga_guid,capacitykv
3904.997164,1384,Underground,East Perth Terminal to North Perth,2012/07/10 00:00:00+00,{B75A68A1-144B-4293-AA41-FBC923A5623F},66
4788.34472,1385,Overhead,Herdsman Parade to Wembley Downs,2012/07/10 00:00:00+00,{91B139E0-A81A-4117-BE83-7866A92A2040},66
4921.8872,1386,Overhead,Nedlands to Cottesloe,2012/07/10 00:00:00+00,{7E22BD67-5462-4235-A94A-F432B57B2499},66
3056.813537,1387,Overhead,University to Nedlands,2012/07/10 00:00:00+00,{DEC89FC0-BA66-408A-AFEF-D457AEE7ADE7},66
1685.270362,1388,Overhead,University to Medical Centre,2012/07/10 00:00:00+00,{F104D037-0273-498C-99CB-60F09573BCE3},66
3249.790537,1389,Overhead,Western Terminal to Nedlands,2012/07/10 00:00:00+00,{794F79C5-592E-4EF5-ADDF-C26C3281BB5A},66
1509.096154,1390,Overhead,Western Terminal to Shenton Park,2012/07/10 00:00:00+00,{4C28435D-6612-435D-94EC-A84DA4B1BA7D},66
5898.713423,1391,Underground,Cottesloe to North Fremantle,2012/07/10 00:00:00+00,{5AFA7364-7043-4A0F-B816-A08CD7BB3D8D},66
10983.18957,1392,Overhead,Mount Keith Mine Tee to Mount Keith,2012/07/10 00:00:00+00,{01C33FA9-454C-4FAD-864E-AD3D7E28AED8},66
224722.1918,1393,Overhead,Millstream to Tom Price,2012/07/10 00:00:00+00,{FDD89A4E-DFA1-457A-A564-E20FCE7F9A4A},220
64063.11138,1394,Overhead,Yurralyi Maya to Millstream,2012/07/10 00:00:00+00,{11F0346D-17ED-4590-9E48-8AA63DA1473D},220
73496.54295,1395,Overhead,Cape Lambert Power Station to Millstream,2012/07/10 00:00:00+00,{35900465-A60A-4F61-8CC8-3D88781D123B},132
100.5767208,1396,Overhead,Yurralyi Maya Power Station to Yurralyi Maja Substation,2012/07/10 00:00:00+00,{BEC6EAAA-C2EA-4BFD-82B2-5A1939710FB8},220
15671.12007,1397,Overhead,Dampier to Yurralyi Maya,2012/07/10 00:00:00+00,{7E307389-6D8B-4B4D-B5EA-0325B44094AC},220
41503.16871,1398,Overhead,Tee to West Angelas Mine,2012/07/10 00:00:00+00,{7F023140-87E9-40A6-A45C-63B8038953A4},220
62102.70709,1399,Overhead,Tom Price to Paraburdoo,2012/07/10 00:00:00+00,{59C18493-1A38-4071-8EDA-8DBCA5344F42},220
98136.19568,1400,Overhead,Kununurra to Guda Guda,2012/07/10 00:00:00+00,{F0611F2A-DCA5-4F12-8AE9-4753A5EF427F},33
65457.01974,1401,Overhead,Goldsworthy to Shay Gap,2012/07/10 00:00:00+00,{63750D68-D5AA-4078-B868-D7076A611D43},66
86.31217935,1449,Overhead,Argyle Mine Power Station to Argyle Mine Power Station substation,2012/07/10 00:00:00+00,{699DCCC6-C9A9-471A-A307-B2F675FE9B2C},66
106.5143056,1450,Overhead,Dampier Power Station to Dampier Power Station substation,2012/07/10 00:00:00+00,{990D6ECA-5503-4C3F-AEC7-5D0D12EFA5FB},66
274.3858187,1451,Overhead,Karratha Power Station to Karratha Terminal,2012/07/10 00:00:00+00,{160A3A0B-FE96-4A00-B6FB-993CAA538835},66
300.7794051,1452,Overhead,Muja C Power Station to Muja Terminal,2012/07/10 00:00:00+00,{D63C878B-0092-4620-BA72-51ECDEE8BEE2},66
247.3828848,1453,Overhead,Muja C Power Station to Muja Terminal (East),2012/07/10 00:00:00+00,{15BAAD8C-EE99-4C8E-90B9-37182E550C06},66
210.9924977,1454,Overhead,Muja D Power Station to Muja Terminal,2012/07/10 00:00:00+00,{6F3318F0-6CA4-429A-81EC-9310645ACA5A},66
181.5663064,1455,Overhead,Muja D Power Station to Muja Terminal (East),2012/07/10 00:00:00+00,{0A736E88-C985-4E2B-9D37-B6F9FF094211},66
617.9335202,1456,Overhead,Collie-Bluewaters Power Station to Bluewaters Terminal,2012/07/10 00:00:00+00,{ACF81C86-1A16-4BB8-828C-E4881A65331E},330
181.4262632,1457,Overhead,Alcoa-Pinjarra to Pinjarra Power Station,2012/07/10 00:00:00+00,{AF870286-9D7C-4FBC-A51A-8109D8619DB4},66
100.0259976,1458,Overhead,West Kalgoorlie Power Station to West Kalgoorlie Terminal,2012/07/10 00:00:00+00,{9A3FA711-4E9C-4667-AC0E-6AC55C9FC6A1},66
54.56855185,1459,Overhead,Kalgoorlie Power Station to Parkeston,2012/07/10 00:00:00+00,{B7A25C9E-B08F-4B5F-8932-D892DF5324C7},66
68.6427355,1460,Overhead,Kwinana BP Refining to Kwinana Power Partnership,2016/11/22 00:00:00+00,{08DB602B-2B26-40CE-BD1C-4F3D6AD49A48},66
226.0129815,1461,Overhead,Cockburn Power Station to Cockburn Terminal,2012/07/10 00:00:00+00,{F61BAE75-8FE5-4401-A853-3C72B3C4BB40},66
176.5880885,1462,Overhead,Kwinana C Power Station to Kwinana C Switchyard,2012/07/10 00:00:00+00,{4792C2F6-9334-4C90-BA0C-DC07C3024F88},66
135.2763629,1463,Overhead,Kwinana Power Station Stage B to Kwinana A B Switchyard,2012/07/10 00:00:00+00,{B15562A7-08F8-4928-8E9A-310DF1123016},66
115.9514753,1464,Overhead,Kwinana Power Station Stage A to Kwinana A B Switchyard,2012/07/10 00:00:00+00,{A0966F35-E0A3-4E5D-B318-551C3D3B7788},66
128.0686177,1465,Overhead,Mungarra Power Station to Mungarra Terminal,2012/07/10 00:00:00+00,{0228CEA9-1739-43F4-884F-192BAD6F79D0},66
119.4798062,1466,Overhead,Geraldton Power Station to Geraldton,2012/07/10 00:00:00+00,{72C34CC0-1292-4EC6-B107-F12894ECB090},66
316.3776576,1467,Overhead,Leinster Power Station to Leinster,2012/07/10 00:00:00+00,{D1D41580-533A-4FA4-B4C0-E02FE7CE5FB5},66
63.20573614,1468,Overhead,Mount Keith Power Station to Mount Keith Mine,2012/07/10 00:00:00+00,{32D83BBB-7896-4032-A9FB-C9F47FB77A8B},66
93.40060622,1469,Overhead,Paraburdoo Power Station to Paraburdoo,2012/07/10 00:00:00+00,{30F3C32C-B7B9-4225-84BE-CDC87321118B},66
89.81208565,1470,Overhead,Newman Mine Power Station to Newman,2012/07/10 00:00:00+00,{60A00E96-89EC-4FAC-A239-B9EB9B80E96F},66
6710.356584,1471,Overhead,Port Hedland Power Station to Wedgefield,2012/07/10 00:00:00+00,{0C304556-1626-4294-97EA-EE12C110266A},66
94084.78031,1478,Overhead,Southern Terminal Station to Kemerton,2012/07/10 00:00:00+00,{AA343F73-E3D1-4223-8188-FE4A326A5395},330
78308.34553,1479,Overhead,Muja to Manjimup,2012/07/10 00:00:00+00,{DC85438B-A502-48EA-9357-B2F590EAA255},132
7620.587158,1480,Overhead,Victoria Park to Clarence Street,2012/07/10 00:00:00+00,{38E72DD0-C399-4134-8871-3CC890DAF24B},66
71170.81905,1481,Overhead,Cannington Terminal to Alcoa Pinjarra,2020/05/08 00:00:00+00,{95AF7A59-B5C9-4CCD-A880-67EF56B41285},132
29857.62439,1487,Overhead,Wagerup to Alcoa Pinjarra Tee,2012/07/10 00:00:00+00,{EE4F79FE-ECC5-4ED9-A76D-4B892AF6AFAA},132
5407.253529,1488,Overhead,Mandurah to Tee,2012/07/10 00:00:00+00,{7F69DA4F-EFED-40EC-A7D6-83917D138CDA},132
1872.247738,1489,Overhead,Canning Vale Canning Vale Tee,2012/07/10 00:00:00+00,{68D17AB8-BE2B-4C08-9024-DA6B55823FB1},132
29809.56779,1490,Overhead,Malaga to Neerabup,2016/11/21 00:00:00+00,{8AAAAE1B-3C35-466C-AB08-E82D5F315449},330
5288.77689,1491,Overhead,Joondalup to Wanneroo,2012/07/10 00:00:00+00,{285E673C-FDD7-4327-B501-110FB93700AB},132
38224.72757,1496,Overhead,Agnew to Leinster,2012/07/10 00:00:00+00,{3EBE1B2E-A8AC-42F0-BAC1-EFD313A2B43E},66
43642.77554,1530,Overhead,Southern Terminal to Guildford Terminal,2012/07/10 00:00:00+00,{D4060ACD-DABD-41E6-8565-CC55B9F93793},330
103689.5647,1531,Overhead,Mungarra to Three Springs (South),2012/07/10 00:00:00+00,{085263FB-272C-4391-A6C2-3EACC27E6E13},132
25596.25913,1532,Overhead,Mungarra Terminal to Walkaway Wind Farm,2012/07/10 00:00:00+00,{702841C3-6936-4087-AC28-AC353A152922},132
70092.4204,1533,Overhead,Eneabba Terminal to Three Springs Terminal,2012/07/10 00:00:00+00,{105B423D-DF91-476D-9EB9-C83682C251A7},330
40053.63541,1534,Overhead,Karara Iron Ore Mine to Three Springs Terminal (East),2012/07/10 00:00:00+00,{BBF4ACE1-6B4E-4741-95A2-65D47ACAA1A5},330
